,Unnamed: 0,id,level,subject,label,latex,confidence,text,finaltext
0,0,indeces2.png,GCSE,Maths,indices,number times,1.0,simplify,simplify number times
1,1,ratios7.png,GCSE,Maths,ratios,error,0.0,number normal price television reduced,number normal price television reduced error
2,2,algebra6.png,GCSE,Maths,algebra,number,0.99951171875,number,number number
3,3,ratios3.png,GCSE,Maths,ratios,error,0.0,would number fill swimming pool water many taps used,would number fill swimming pool water many taps used error
4,4,ratios2.png,GCSE,Maths,ratios,error,0.0,number older twice old sum three ratio age,number older twice old sum three ratio age error
5,5,probability6.png,GCSE,Maths,probability,error,0.0,work probability day june rain tennis,work probability day june rain tennis error
6,6,simultaneous7.png,GCSE,Maths,simultaneous,left beginarray number equals endarray right,1.0,number solve simultaneous,number solve simultaneous left beginarray number equals endarray right
7,7,stats1.png,GCSE,Maths,stats,number,1.0,times number left station cumulative frequency graph information correct nearest minute,times number left station cumulative frequency graph information correct nearest minute number
8,8,algebra30.png,GCSE,Maths,algebra,number,0.99951171875,number currant iced pack box total formula,number currant iced pack box total formula number
9,9,simultaneous5.png,GCSE,Maths,simultaneous,left beginarray number equals endarray right,0.99462890625,number solve simultaneous,number solve simultaneous left beginarray number equals endarray right
10,10,indeces20.png,GCSE,Maths,indices,left beginarray number times endarray right,0.7104997818804609,write order number,write order number left beginarray number times endarray right
11,11,probability8.png,GCSE,Maths,probability,error,0.0,rest random sweet eats another probability two orange show,rest random sweet eats another probability two orange show error
12,12,probability7.png,GCSE,Maths,probability,error,0.0,raise money game people fair number sided dice person roll multiple work probability win,raise money game people fair number sided dice person roll multiple work probability win error
13,13,indeces11.png,GCSE,Maths,indices,number,1.0,simplify,simplify number
14,14,simultaneous4.png,GCSE,Maths,simultaneous,left beginarray number equals endarray right,0.96923828125,solve simultaneous,solve simultaneous left beginarray number equals endarray right
15,15,inequalities4.png,GCSE,Maths,inequalities,number notequals,1.0,number solve,number solve number notequals
16,16,algebra4.png,GCSE,Maths,algebra,sqrt number,1.0,work value number,work value number sqrt number
